word,definition,part_of_speech,points,scrabble_valid,length,first_letter,last_letter
AAAB,Valid English Scrabble word: AAAB,noun,6,true,4,A,B
AAAC,Valid English Scrabble word: AAAC,noun,6,true,4,A,C
AAAD,Valid English Scrabble word: AAAD,noun,5,true,4,A,D
AAAF,Valid English Scrabble word: AAAF,noun,7,true,4,A,F
AAAG,Valid English Scrabble word: AAAG,noun,5,true,4,A,G
AAAH,Valid English Scrabble word: AAAH,noun,7,true,4,A,H
AAAJ,Valid English Scrabble word: AAAJ,noun,11,true,4,A,J
AAAK,Valid English Scrabble word: AAAK,noun,8,true,4,A,K
AAAL,Valid English Scrabble word: AAAL,noun,4,true,4,A,L
AAAM,Valid English Scrabble word: AAAM,noun,6,true,4,A,M
AAAN,Valid English Scrabble word: AAAN,noun,4,true,4,A,N
AAAP,Valid English Scrabble word: AAAP,noun,6,true,4,A,P
AAAQ,Valid English Scrabble word: AAAQ,noun,13,true,4,A,Q
AAAR,Valid English Scrabble word: AAAR,noun,4,true,4,A,R
AAAS,Valid English Scrabble word: AAAS,noun,4,true,4,A,S
AAAT,Valid English Scrabble word: AAAT,noun,4,true,4,A,T
AAAV,Valid English Scrabble word: AAAV,noun,7,true,4,A,V
AAAW,Valid English Scrabble word: AAAW,noun,7,true,4,A,W
AAAX,Valid English Scrabble word: AAAX,noun,11,true,4,A,X
AAAY,Valid English Scrabble word: AAAY,noun,7,true,4,A,Y
AAAZ,Valid English Scrabble word: AAAZ,noun,13,true,4,A,Z
AAB,Valid English Scrabble word: AAB,noun,5,true,3,A,B
AABA,Valid English Scrabble word: AABA,noun,6,true,4,A,A
AABB,Valid English Scrabble word: AABB,noun,8,true,4,A,B
AABC,Valid English Scrabble word: AABC,noun,8,true,4,A,C
AABD,Valid English Scrabble word: AABD,noun,7,true,4,A,D
AABE,Valid English Scrabble word: AABE,noun,6,true,4,A,E
AABF,Valid English Scrabble word: AABF,noun,9,true,4,A,F
AABG,Valid English Scrabble word: AABG,noun,7,true,4,A,G
AABH,Valid English Scrabble word: AABH,noun,9,true,4,A,H
AABI,Valid English Scrabble word: AABI,noun,6,true,4,A,I
AABJ,Valid English Scrabble word: AABJ,noun,13,true,4,A,J
AABK,Valid English Scrabble word: AABK,noun,10,true,4,A,K
AABL,Valid English Scrabble word: AABL,noun,6,true,4,A,L
AABM,Valid English Scrabble word: AABM,noun,8,true,4,A,M
AABN,Valid English Scrabble word: AABN,noun,6,true,4,A,N
AABO,Valid English Scrabble word: AABO,noun,6,true,4,A,O
AABP,Valid English Scrabble word: AABP,noun,8,true,4,A,P
AABQ,Valid English Scrabble word: AABQ,noun,15,true,4,A,Q
AABR,Valid English Scrabble word: AABR,noun,6,true,4,A,R
AABS,Valid English Scrabble word: AABS,noun,6,true,4,A,S
AABT,Valid English Scrabble word: AABT,noun,6,true,4,A,T
AABU,Valid English Scrabble word: AABU,noun,6,true,4,A,U
AABV,Valid English Scrabble word: AABV,noun,9,true,4,A,V
AABW,Valid English Scrabble word: AABW,noun,9,true,4,A,W
AABX,Valid English Scrabble word: AABX,noun,13,true,4,A,X
AABY,Valid English Scrabble word: AABY,noun,9,true,4,A,Y
AABZ,Valid English Scrabble word: AABZ,noun,15,true,4,A,Z
AAC,Valid English Scrabble word: AAC,noun,5,true,3,A,C
AACA,Valid English Scrabble word: AACA,noun,6,true,4,A,A
AACB,Valid English Scrabble word: AACB,noun,8,true,4,A,B
AACC,Valid English Scrabble word: AACC,noun,8,true,4,A,C
AACD,Valid English Scrabble word: AACD,noun,7,true,4,A,D
AACE,Valid English Scrabble word: AACE,noun,6,true,4,A,E
AACF,Valid English Scrabble word: AACF,noun,9,true,4,A,F
AACG,Valid English Scrabble word: AACG,noun,7,true,4,A,G
AACH,Valid English Scrabble word: AACH,noun,9,true,4,A,H
AACI,Valid English Scrabble word: AACI,noun,6,true,4,A,I
AACJ,Valid English Scrabble word: AACJ,noun,13,true,4,A,J
AACK,Valid English Scrabble word: AACK,noun,10,true,4,A,K
AACL,Valid English Scrabble word: AACL,noun,6,true,4,A,L
