word,definition,part_of_speech,scrabble_valid,source
CAT,"Small domesticated carnivorous mammal",noun,true,SOWPODS
CATS,"Plural of cat",noun,true,SOWPODS
DOG,"Domesticated carnivorous mammal",noun,true,SOWPODS
DOGS,"Plural of dog",noun,true,SOWPODS
HOUSE,"Building for human habitation",noun,true,SOWPODS
HOUSES,"Plural of house",noun,true,SOWPODS
PLAY,"Engage in activity for enjoyment",verb,true,SOWPODS
PLAYS,"Third person singular of play",verb,true,SOWPODS
GAME,"Form of competitive activity",noun,true,SOWPODS
GAMES,"Plural of game",noun,true,SOWPODS
SCRABBLE,"Word game using lettered tiles",noun,true,SOWPODS
LETTER,"Character representing a speech sound",noun,true,SOWPODS
LETTERS,"Plural of letter",noun,true,SOWPODS
WORD,"Single distinct meaningful element",noun,true,SOWPODS
WORDS,"Plural of word",noun,true,SOWPODS
BOARD,"Flat piece of material",noun,true,SOWPODS
BOARDS,"Plural of board",noun,true,SOWPODS
POINT,"Individual dot or mark",noun,true,SOWPODS
POINTS,"Plural of point",noun,true,SOWPODS
SCORE,"Number of points achieved",noun,true,SOWPODS
SCORES,"Plural of score",noun,true,SOWPODS
DICTIONARY,"Book listing words of a language",noun,true,SOWPODS
DICTIONARIES,"Plural of dictionary",noun,true,SOWPODS
ENGLISH,"Relating to England or its language",adjective,true,SOWPODS
LANGUAGE,"Method of human communication",noun,true,SOWPODS
LANGUAGES,"Plural of language",noun,true,SOWPODS
VALID,"Having legal force or acceptable",adjective,true,SOWPODS
DATABASE,"Structured set of data",noun,true,SOWPODS
DATABASES,"Plural of database",noun,true,SOWPODS
SEARCH,"Look for someone or something",verb,true,SOWPODS
SEARCHES,"Third person singular of search",verb,true,SOWPODS
SERVER,"Computer providing services",noun,true,SOWPODS
SERVERS,"Plural of server",noun,true,SOWPODS
API,"Application Programming Interface",noun,true,TWL
TEST,"Procedure to determine quality",noun,true,SOWPODS
TESTS,"Plural of test",noun,true,SOWPODS
VALIDATION,"Action of checking validity",noun,true,SOWPODS
VALIDATIONS,"Plural of validation",noun,true,SOWPODS
PERFORMANCE,"Execution of an action",noun,true,SOWPODS
